File;obfuscated;recovered
aes_AddRoundKey.c;0,000;1,000
aes_AES_CBC_encrypt_buffer.c;0,000;1,000
aes_AES_CTR_xcrypt_buffer.c;0,000;0,997
aes_Cipher.c;0,000;1,000
aes_InvCipher.c;0,000;1,000
aes_KeyExpansion.c;0,474;1,000
aes_SubBytes.c;0,000;1,000
bkdrhash_file_main.c;0,368;1,000
bkdrhash_main.c;0,275;1,000
bphash_file_main.c;0,368;1,000
bphash_main.c;0,276;1,000
bubblesort_bubblesort.c;0,277;1,000
bubblesort_file_bubblesort.c;0,277;1,000
bubblesort_file_main.c;0,000;0,859
bubblesort_main.c;0,000;0,936
dekhash_file_main.c;0,368;1,000
dekhash_main.c;0,276;1,000
djbhash_file_main.c;0,368;1,000
djbhash_main.c;0,276;1,000
elfhash_ELFHash.c;0,283;0,833
elfhash_file_ELFHash.c;0,283;0,833
elfhash_file_main.c;0,368;1,000
elfhash_main.c;0,277;1,000
fnvhash_file_main.c;0,368;1,000
fnvhash_main.c;0,276;1,000
insertionsort_file_insertionSort.c;0,000;1,000
insertionsort_file_main.c;0,000;0,847
insertionsort_insertionSort.c;0,000;1,000
insertionsort_main.c;0,000;0,936
jshash_file_main.c;0,369;1,000
jshash_main.c;0,277;1,000
mergesort_file_main.c;0,215;0,943
mergesort_file_merge.c;0,000;0,646
mergesort_main.c;0,000;0,939
mergesort_merge.c;0,000;0,646
naval_battle_flatten_positionBoat.c;0,000;0,952
pjwhash_file_main.c;0,368;1,000
pjwhash_file_PJWHash.c;0,000;0,734
pjwhash_main.c;0,277;1,000
pjwhash_PJWHash.c;0,000;0,734
quicksort_file_main.c;0,215;0,943
quicksort_file_partition.c;0,000;1,000
quicksort_main.c;0,000;0,939
quicksort_partition.c;0,372;0,664
rshash_file_main.c;0,368;1,000
rshash_main.c;0,276;1,000
sdbmhash_file_main.c;0,368;1,000
sdbmhash_main.c;0,275;1,000
selectionsort_file_main.c;0,000;0,882
selectionsort_file_selectionSort.c;0,000;0,803
selectionsort_main.c;0,000;0,938
selectionsort_selectionSort.c;0,000;0,803
Mittelwert;0,170;0,939
Median;0,245;1,000
